The message ID:                                            :   Delay
message ID:/promote/item-00091-10000                       :104.992653148
message ID:/promote/item-00073-10000                       :76.644301429
message ID:/promote/item-00067-10000                       :27.0601351012
message ID:/promote/item-00057-10000                       :72.9650234137
message ID:/promote/item-00005-10000                       :65.5172196156
message ID:/promote/item-00022-10000                       :123.785766422
message ID:/promote/item-00069-10000                       :153.331384866
message ID:/promote/item-00081-10000                       :36.0324568458
message ID:/promote/item-00004-10000                       :140.661552342
message ID:/promote/item-00071-10000                       :145.10962125
message ID:/promote/item-00046-10000                       :28.9759562785
message ID:/promote/item-00195-10000                       :42.0558340682
message ID:/promote/item-00043-10000                       :107.562054565
message ID:/promote/item-00002-10000                       :145.443775956
message ID:/promote/item-00172-10000                       :172.54978349
message ID:/promote/item-00181-10000                       :197.530649338
message ID:/promote/item-00165-10000                       :135.82268336
message ID:/promote/item-00042-10000                       :98.5720655578
message ID:/promote/item-00011-10000                       :139.551245967
message ID:/promote/item-00143-10000                       :58.6623205362
message ID:/promote/item-00127-10000                       :185.694069879
message ID:/promote/item-00102-10000                       :174.750094772
message ID:/promote/item-00147-10000                       :124.964009593
message ID:/promote/item-00145-10000                       :62.2612094891
message ID:/promote/item-00130-10000                       :116.70027932
message ID:/promote/item-00099-10000                       :216.342598249
message ID:/promote/item-00175-10000                       :204.078379848
message ID:/promote/item-00131-10000                       :206.363690963
message ID:/promote/item-00116-10000                       :179.112622976
message ID:/promote/item-00029-10000                       :121.690844814
message ID:/promote/item-00190-10000                       :61.7127958609
message ID:/promote/item-00007-10000                       :128.838868822
message ID:/promote/item-00017-10000                       :210.536778551
message ID:/promote/item-00092-10000                       :189.518542726
message ID:/promote/item-00006-10000                       :232.284185372
message ID:/promote/item-00094-10000                       :192.801774378
message ID:/promote/item-00179-10000                       :102.725417573
message ID:/promote/item-00100-10000                       :122.304735672
message ID:/promote/item-00037-10000                       :229.353359154
message ID:/promote/item-00024-10000                       :126.802490983
message ID:/promote/item-00060-10000                       :233.566969452
message ID:/promote/item-00122-10000                       :207.715414467
message ID:/promote/item-00194-10000                       :76.2568934644
